




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	Client Text Box Input (487)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
cleavage furrow formation (GO:0036089)	7	4	.16	+	25.80	6.37E-05	5.94E-03
regulation of miRNA metabolic process (GO:2000628)	15	4	.33	+	12.04	6.52E-04	4.41E-02
negative regulation of protein serine/threonine kinase activity (GO:0071901)	117	12	2.59	+	4.63	2.47E-05	2.63E-03
multicellular organism growth (GO:0035264)	119	12	2.64	+	4.55	2.88E-05	3.01E-03
regulation of dendritic spine development (GO:0060998)	81	8	1.79	+	4.46	6.98E-04	4.69E-02
regulation of double-strand break repair (GO:2000779)	82	8	1.82	+	4.40	7.52E-04	4.96E-02
digestive system development (GO:0055123)	134	13	2.97	+	4.38	1.97E-05	2.17E-03
positive regulation of canonical Wnt signaling pathway (GO:0090263)	107	10	2.37	+	4.22	2.35E-04	1.89E-02
digestive tract development (GO:0048565)	121	11	2.68	+	4.10	1.45E-04	1.23E-02
embryonic placenta development (GO:0001892)	111	10	2.46	+	4.07	3.08E-04	2.42E-02
regulation of postsynapse organization (GO:0099175)	111	10	2.46	+	4.07	3.08E-04	2.41E-02
negative regulation of kinase activity (GO:0033673)	231	20	5.12	+	3.91	6.51E-07	1.12E-04
negative regulation of protein kinase activity (GO:0006469)	208	18	4.61	+	3.91	2.37E-06	3.40E-04
regulation of receptor-mediated endocytosis (GO:0048259)	120	10	2.66	+	3.76	5.46E-04	3.91E-02
regulation of fat cell differentiation (GO:0045598)	146	12	3.23	+	3.71	1.77E-04	1.48E-02
positive regulation of Wnt signaling pathway (GO:0030177)	138	11	3.06	+	3.60	4.16E-04	3.17E-02
cell-cell signaling by wnt (GO:0198738)	237	18	5.25	+	3.43	1.27E-05	1.53E-03
Wnt signaling pathway (GO:0016055)	237	18	5.25	+	3.43	1.27E-05	1.52E-03
negative regulation of transferase activity (GO:0051348)	264	20	5.85	+	3.42	4.38E-06	5.95E-04
ossification (GO:0001503)	230	17	5.09	+	3.34	3.04E-05	3.15E-03
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	163	12	3.61	+	3.32	4.53E-04	3.43E-02
regulation of histone modification (GO:0031056)	165	12	3.65	+	3.28	5.02E-04	3.71E-02
negative regulation of binding (GO:0051100)	166	12	3.68	+	3.26	5.28E-04	3.83E-02
positive regulation of GTPase activity (GO:0043547)	236	17	5.23	+	3.25	4.11E-05	4.08E-03
regulation of GTPase activity (GO:0043087)	324	23	7.18	+	3.21	2.38E-06	3.38E-04
covalent chromatin modification (GO:0016569)	341	24	7.55	+	3.18	1.65E-06	2.46E-04
histone modification (GO:0016570)	335	23	7.42	+	3.10	4.01E-06	5.49E-04
homeostasis of number of cells (GO:0048872)	297	20	6.58	+	3.04	2.20E-05	2.38E-03
positive regulation of binding (GO:0051099)	195	13	4.32	+	3.01	6.44E-04	4.41E-02
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	291	19	6.45	+	2.95	5.20E-05	4.97E-03
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	215	14	4.76	+	2.94	5.04E-04	3.71E-02
regulation of binding (GO:0051098)	391	25	8.66	+	2.89	5.00E-06	6.74E-04
chromatin organization (GO:0006325)	648	41	14.35	+	2.86	6.01E-09	1.46E-06
negative regulation of transcription by RNA polymerase II (GO:0000122)	904	57	20.02	+	2.85	5.82E-12	1.95E-09
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	308	19	6.82	+	2.79	1.05E-04	9.14E-03
skeletal system development (GO:0001501)	490	30	10.85	+	2.76	1.32E-06	2.06E-04
in utero embryonic development (GO:0001701)	526	32	11.65	+	2.75	6.65E-07	1.13E-04
negative regulation of phosphorylation (GO:0042326)	395	24	8.75	+	2.74	1.71E-05	1.95E-03
regulation of cellular protein catabolic process (GO:1903362)	247	15	5.47	+	2.74	6.39E-04	4.40E-02
negative regulation of cellular catabolic process (GO:0031330)	248	15	5.49	+	2.73	6.65E-04	4.48E-02
negative regulation of protein phosphorylation (GO:0001933)	349	21	7.73	+	2.72	6.48E-05	5.98E-03
ubiquitin-dependent protein catabolic process (GO:0006511)	499	30	11.05	+	2.71	1.87E-06	2.76E-04
