seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	9545572	9545947	376	*	X001	59014	9545408	9547455	2048	+	0	inside	163	Rrs1
chr1	36068402	36068697	296	*	X003	50785	36068400	36106446	38047	+	0	inside	1	Hs6st1
chr1	39576879	39577426	548	*	X005	67702	39551296	39577405	26110	-	0	overlapStart	0	Rnf149
chr1	82839580	82839893	314	*	X006	15463	82839483	82901182	61700	+	0	inside	96	Agfg1
chr1	87853326	87853717	392	*	X007	227333	87853287	87945180	91894	+	0	inside	38	Dgkd
chr1	92910743	92910804	62	*	X009	108657	92910783	92920841	10059	+	0	overlapStart	0	Rnpepl1
chr1	92910743	92910804	62	*	X009	75995	92908378	92910764	2387	-	0	overlapStart	0	5033417F24Rik
chr1	92910860	92911274	415	*	X010	108657	92910783	92920841	10059	+	0	inside	76	Rnpepl1
chr1	92910860	92911274	415	*	X010	75995	92908378	92910764	2387	-	95	upstream	95	5033417F24Rik
chr1	105990549	105991038	490	*	X011	227449	105990406	106034074	43669	+	0	inside	142	Zcchc2
chr1	105990549	105991038	490	*	X011	635504	105979350	105990282	10933	-	266	upstream	266	Gm7160
chr1	106714171	106714319	149	*	X012	12043	106538178	106714274	176097	-	0	overlapStart	0	Bcl2
chr1	106714488	106714632	145	*	X013	12043	106538178	106714274	176097	-	213	upstream	213	Bcl2
chr1	159232429	159232588	160	*	X014	26374	159232320	159347640	115321	+	0	inside	108	Cop1
chr1	171064682	171064755	74	*	X017	102466998	171064591	171064652	62	-	29	upstream	29	Mir6546
chr1	171064682	171064755	74	*	X017	14131	171051174	171064935	13762	-	0	inside	179	Fcgr3
chr1	192137764	192138340	577	*	X018	214742	192098546	192138062	39517	-	0	overlapStart	0	Rcor3
chr10	9900829	9901225	397	*	X019	78808	9755547	9901079	145533	-	0	overlapStart	0	Stxbp5
chr10	11281395	11281718	324	*	X020	71865	11281330	11298052	16723	+	0	inside	64	Fbxo30
chr10	11343388	11343749	362	*	X021	13853	11343404	11459644	116241	+	0	overlapStart	0	Epm2a
chr10	18055339	18056166	828	*	X023	19707	18055861	18125155	69295	+	0	overlapStart	0	Reps1
chr10	19934051	19934644	594	*	X024	26408	19934472	20142753	208282	+	0	overlapStart	0	Map3k5
chr10	20148578	20149072	495	*	X025	17761	20148471	20281590	133120	+	0	inside	106	Map7
chr10	21160909	21161057	149	*	X026	17863	21124935	21160984	36050	-	0	overlapStart	0	Myb
chr10	21161113	21161284	172	*	X027	17863	21124935	21160984	36050	-	128	upstream	128	Myb
chr10	43478866	43479858	993	*	X031	331623	43478831	43515396	36566	+	0	inside	34	Bend3
chr10	61147561	61147670	110	*	X032	20397	61098642	61147703	49062	-	0	inside	32	Sgpl1
chr10	61147725	61147961	237	*	X033	20397	61098642	61147703	49062	-	21	upstream	21	Sgpl1
chr10	67548784	67549163	380	*	X036	211488	67544511	67549068	4558	-	0	overlapStart	0	Ado
chr10	70097236	70097512	277	*	X037	76551	70097121	70193200	96080	+	0	inside	114	Ccdc6
chr10	71347649	71347693	45	*	X038	69718	71347763	71385885	38123	+	69	upstream	69	Ipmk
chr10	71347808	71348089	282	*	X039	69718	71347763	71385885	38123	+	0	inside	44	Ipmk
chr10	77417942	77418250	309	*	X040	110532	77290726	77418270	127545	-	0	inside	19	Adarb1
chr10	79682191	79682549	359	*	X041	216150	79682195	79688398	6204	+	0	overlapStart	0	Cdc34
chr10	79716832	79717020	189	*	X042	15166	79716634	79736108	19475	+	0	inside	197	Hcn2
chr10	79766373	79767021	649	*	X043	70294	79758515	79766952	8438	-	0	overlapStart	0	Rnf126
chr10	80387251	80387478	228	*	X045	237400	80380355	80387659	7305	-	0	inside	180	Mex3d
chr10	81559378	81559699	322	*	X047	14797	81559488	81566362	6875	+	0	overlapStart	0	Tle5
chr10	84533564	84533919	356	*	X048	216197	84526305	84534062	7758	-	0	inside	142	Ckap4
